slug;name_en;name_ru
band-front-raise;Band Front Raise;Подъём рук перед собой с резиновой лентой
band-glute-kickback;Band Glute Kickback;Отведение ноги назад на ягодицы с резиновой лентой
band-glute-kickback-hold;Band Glute Kickback Hold;Отведение ноги назад на ягодицы удержание с резиновой лентой
band-goblet-squat;Band Goblet Squat;Гоблет-приседание с резиновой лентой
band-good-morning;Band Good Morning;Наклон «доброе утро» с резиновой лентой
band-half-kneeling-single-arm-pulldown;Band Half Kneeling Single Arm Pulldown;На одном колене одной рукой тяга верхнего блока с резиновой лентой
band-high-curl;Band High Curl;Верхний сгибание рук с резиновой лентой
band-high-face-pull;Band High Face Pull;Тяга к лицу сверху с резиновой лентой
band-high-hammer-curl;Band High Hammer Curl;Верхний молотковое сгибание рук с резиновой лентой
band-high-reverse-curl;Band High Reverse Curl;Верхний обратное сгибание рук с резиновой лентой
band-high-to-low-pallof-press-wood-chopper;Band High To Low Pallof Press Wood Chopper;Жим Паллофа с дровосеком сверху вниз с резиновой лентой
band-hip-abduction;Band Hip Abduction;Отведение бедра с резиновой лентой
band-hip-adduction;Band Hip Adduction;Приведение бедра с резиновой лентой
band-hip-thrust;Band Hip Thrust;Ягодичный мост с опорой плечами с резиновой лентой
band-horizontal-shrug;Band Horizontal Shrug;Горизонтальный шраги с резиновой лентой
band-internally-rotated-chest-fly;Band Internally Rotated Chest Fly;С внутренней ротацией разведение рук на грудь с резиновой лентой
band-knee-extension;Band Knee Extension;Разгибание колена с резиновой лентой
band-kneeling-pulldown;Band Kneeling Pulldown;На коленях тяга верхнего блока с резиновой лентой
band-kneeling-single-arm-pulldown;Band Kneeling Single Arm Pulldown;На коленях одной рукой тяга верхнего блока с резиновой лентой
band-lateral-raise;Band Lateral Raise;Подъём рук в стороны с резиновой лентой
band-leg-curl;Band Leg Curl;Сгибание ног с резиновой лентой
band-leg-extension;Band Leg Extension;Разгибание ног с резиновой лентой
band-leg-press;Band Leg Press;Ноги жим с резиновой лентой
band-low-lateral-raise;Band Low Lateral Raise;Нижний подъём рук в стороны с резиновой лентой
band-low-to-high-pallof-press-wood-chopper;Band Low To High Pallof Press Wood Chopper;Жим Паллофа с дровосеком снизу вверх с резиновой лентой
band-mid-lateral-raise;Band Mid Lateral Raise;Средний подъём рук в стороны с резиновой лентой
band-overhead-press;Band Overhead Press;Жим над головой с резиновой лентой
band-overhead-tricep-extension;Band Overhead Tricep Extension;Разгибание рук на трицепс над головой с резиновой лентой
band-pallof-press;Band Pallof Press;Жим Паллофа с резиновой лентой
band-pallof-press-to-wood-chopper;Band Pallof Press To Wood Chopper;Жим Паллофа с переходом в дровосек с резиновой лентой
band-press-around;Band Press Around;Жим по дуге с резиновой лентой
band-pull-apart;Band Pull Apart;Разведение рук в стороны с резиновой лентой
band-pull-around;Band Pull Around;Тяга по дуге с резиновой лентой
band-pullover;Band Pullover;Пуловер с резиновой лентой
band-pullthrough;Band Pullthrough;Тяга между ног с резиновой лентой
band-pushdown;Band Pushdown;Разгибание рук вниз с резиновой лентой
band-pushup;Band Pushup;Отжимание с резиновой лентой
band-rapunzel-pushdown;Band Rapunzel Pushdown;Разгибание рук вниз «Рапунцель» с резиновой лентой
band-rear-delt-fly;Band Rear Delt Fly;Разведение рук на заднюю дельту с резиновой лентой
band-reverse-curl;Band Reverse Curl;Обратное сгибание рук с резиновой лентой
band-romanian-deadlift;Band Romanian Deadlift;Румынская становая тяга с резиновой лентой
band-row;Band Row;Тяга с резиновой лентой
band-seated-inversions;Band Seated Inversions;Инверсии стопы сидя с резиновой лентой
band-seated-pulldown;Band Seated Pulldown;Сидя тяга верхнего блока с резиновой лентой
band-seated-single-arm-pulldown;Band Seated Single Arm Pulldown;Сидя одной рукой тяга верхнего блока с резиновой лентой
band-shoulder-y-raise;Band Shoulder Y Raise;Y-подъём на плечи с резиновой лентой
band-shrug;Band Shrug;Шраги с резиновой лентой
band-side-bend;Band Side Bend;Наклон в сторону с резиновой лентой
band-single-arm-bent-over-row;Band Single Arm Bent Over Row;Одной рукой тяга в наклоне с резиновой лентой
band-single-arm-chest-press;Band Single Arm Chest Press;Одной рукой жим от груди с резиновой лентой
band-single-arm-internally-rotated-chest-fly;Band Single Arm Internally Rotated Chest Fly;Одной рукой с внутренней ротацией разведение рук на грудь с резиновой лентой
band-single-arm-lateral-raise;Band Single Arm Lateral Raise;Одной рукой подъём рук в стороны с резиновой лентой
band-single-arm-overhead-press;Band Single Arm Overhead Press;Одной рукой жим над головой с резиновой лентой
band-single-arm-pec-fly;Band Single Arm Pec Fly;Одной рукой разведение рук на грудь с резиновой лентой
band-single-arm-pulldown;Band Single Arm Pulldown;Одной рукой тяга верхнего блока с резиновой лентой
band-single-arm-pushdown;Band Single Arm Pushdown;Одной рукой разгибание рук вниз с резиновой лентой
band-single-arm-row;Band Single Arm Row;Одной рукой тяга с резиновой лентой
band-single-arm-skullcrusher;Band Single Arm Skullcrusher;Одной рукой французский жим лёжа с резиновой лентой
band-skullcrusher;Band Skullcrusher;Французский жим лёжа с резиновой лентой
band-spanish-squat;Band Spanish Squat;Испанское приседание с резиновой лентой
band-squat;Band Squat;Приседание с резиновой лентой
band-squat-hold-row;Band Squat Hold Row;Приседание удержание тяга с резиновой лентой
band-squat-hold-single-arm-row;Band Squat Hold Single Arm Row;Приседание удержание одной рукой тяга с резиновой лентой
band-standing-chest-press;Band Standing Chest Press;Стоя жим от груди с резиновой лентой
band-standing-good-morning;Band Standing Good Morning;Стоя наклон «доброе утро» с резиновой лентой
band-straight-leg-hip-flexions;Band Straight Leg Hip Flexions;Сгибания бедра с прямой ногой с резиновой лентой
band-tricep-kickback;Band Tricep Kickback;Отведение руки назад на трицепс с резиновой лентой
band-upright-row;Band Upright Row;Тяга к подбородку с резиновой лентой
band-wood-chopper;Band Wood Chopper;Дровосек с резиновой лентой
banded-side-walks;Banded Side Walks;Боковая ходьба с резиновой лентой
barbell-30-degree-shrug;Barbell 30 Degree Shrug;Шраги под углом 30 градусов со штангой
barbell-banded-back-squat;Barbell Banded Back Squat;С резиновой лентой приседание со штангой на спине
barbell-banded-deadlift;Barbell Banded Deadlift;С резиновой лентой становая тяга со штангой
barbell-banded-front-squat;Barbell Banded Front Squat;С резиновой лентой фронтальное приседание со штангой
barbell-banded-romanian-deadlift;Barbell Banded Romanian Deadlift;С резиновой лентой румынская становая тяга со штангой
barbell-banded-split-squat;Barbell Banded Split Squat;С резиновой лентой сплит-присед со штангой
barbell-behind-the-back-30-degree-shrug;Barbell Behind The Back 30 Degree Shrug;За спиной шраги под углом 30 градусов со штангой
barbell-behind-the-back-shrug;Barbell Behind The Back Shrug;За спиной шраги со штангой
barbell-behind-the-back-wrist-curl;Barbell Behind The Back Wrist Curl;За спиной сгибание запястий со штангой
barbell-behind-the-neck-press;Barbell Behind The Neck Press;Жим из-за головы со штангой
barbell-behind-the-neck-seated-overhead-press;Barbell Behind The Neck Seated Overhead Press;За шеи сидя жим над головой со штангой
barbell-bench-press;Barbell Bench Press;Жим лёжа со штангой
barbell-bent-over-row;Barbell Bent Over Row;Тяга в наклоне со штангой
barbell-block-conventional-deadlift;Barbell Block Conventional Deadlift;С блоками классическая становая тяга со штангой
barbell-bradford-press;Barbell Bradford Press;Жим Брэдфорда со штангой
barbell-bulgarian-split-squat;Barbell Bulgarian Split Squat;Болгарский сплит-присед со штангой
barbell-calf-jump;Barbell Calf Jump;Прыжок на носках со штангой
barbell-calf-raises;Barbell Calf Raises;Подъёмы на носки со штангой
barbell-clean-and-jerk;Barbell Clean And Jerk;Взятие на грудь и толчок со штангой
barbell-clean-and-press;Barbell Clean And Press;Взятие на грудь и жим со штангой
barbell-close-grip-bench-press;Barbell Close Grip Bench Press;Жим лёжа узким хватом со штангой
barbell-coan-deadlift;Barbell Coan Deadlift;Коэна становая тяга со штангой
barbell-conventional-pause-deadlift;Barbell Conventional Pause Deadlift;Классическая с паузой становая тяга со штангой
barbell-curl;Barbell Curl;Сгибание рук со штангой
barbell-curtsy-deficit-lunge;Barbell Curtsy Deficit Lunge;Выпад-реверанс с дефицитом со штангой
barbell-curtsy-lunge;Barbell Curtsy Lunge;Выпад-реверанс со штангой
barbell-deadlift;Barbell Deadlift;Становая тяга со штангой
barbell-deficit-conventional-deadlift;Barbell Deficit Conventional Deadlift;С дефицитом классическая становая тяга со штангой
barbell-deficit-lunge;Barbell Deficit Lunge;С дефицитом выпад со штангой
barbell-drag-curl;Barbell Drag Curl;Сгибание рук вдоль тела со штангой
barbell-feet-elevated-figure-four-glute-bridge;Barbell Feet Elevated Figure Four Glute Bridge;Стоп на возвышении ягодичный мост в положении «четвёрка» со штангой
barbell-feet-elevated-glute-bridge;Barbell Feet Elevated Glute Bridge;Стоп на возвышении ягодичный мост со штангой
barbell-feet-elevated-single-leg-glute-bridge;Barbell Feet Elevated Single Leg Glute Bridge;Стоп на возвышении одной ноги ягодичный мост со штангой
barbell-feet-elevated-staggered-glute-bridge;Barbell Feet Elevated Staggered Glute Bridge;Стоп на возвышении со смещённой стойкой ягодичный мост со штангой
barbell-figure-four-heels-elevated-hip-thrust;Barbell Figure Four Heels Elevated Hip Thrust;В положении «четвёрка» пяток на возвышении ягодичный мост с опорой плечами со штангой
barbell-figure-four-hip-thrust;Barbell Figure Four Hip Thrust;Ягодичный мост с опорой плечами в положении «четвёрка» со штангой
barbell-floor-press;Barbell Floor Press;Жим с пола со штангой
barbell-forward-lunge;Barbell Forward Lunge;Выпад вперёд со штангой
barbell-front-rack-deficit-lunge;Barbell Front Rack Deficit Lunge;Вперёд на стойке с дефицитом выпад со штангой
barbell-front-rack-step-up;Barbell Front Rack Step Up;Вперёд на стойке подъём на платформу со штангой
barbell-front-rack-step-up-knee-drive;Barbell Front Rack Step Up Knee Drive;Вперёд на стойке подъём на платформу с подъёмом колена со штангой
barbell-front-raise;Barbell Front Raise;Подъём рук перед собой со штангой
barbell-front-squat-bodybuilding;Barbell Front Squat Bodybuilding;Фронтальное приседание в бодибилдерском стиле со штангой
barbell-front-squat-olympic;Barbell Front Squat Olympic;Фронтальное приседание в олимпийском стиле со штангой
barbell-front-squat-with-straps;Barbell Front Squat With Straps;Фронтальное приседание с лямками со штангой
barbell-full-front-raise;Barbell Full Front Raise;Полный подъём рук перед собой со штангой
barbell-glute-bridge;Barbell Glute Bridge;Ягодичный мост со штангой
barbell-guillotine-high-incline-bench-press;Barbell Guillotine High Incline Bench Press;«гильотина» верхний жим лёжа на наклонной скамье со штангой
barbell-guillotine-incline-bench-press;Barbell Guillotine Incline Bench Press;«гильотина» жим лёжа на наклонной скамье со штангой
barbell-hang-clean-and-press;Barbell Hang Clean And Press;Взятие на грудь с виса и жим со штангой
barbell-heels-elevated-hip-thrust;Barbell Heels Elevated Hip Thrust;Пяток на возвышении ягодичный мост с опорой плечами со штангой
barbell-heels-up-back-squat;Barbell Heels Up Back Squat;Пяток вверх приседание со штангой на спине
barbell-heels-up-front-squat;Barbell Heels Up Front Squat;Пяток вверх фронтальное приседание со штангой
barbell-high-bar-good-morning;Barbell High Bar Good Morning;Верхний с прямой рукоятью наклон «доброе утро» со штангой
barbell-high-bar-squat;Barbell High Bar Squat;Верхний с прямой рукоятью приседание со штангой
barbell-high-incline-bench-press;Barbell High Incline Bench Press;Верхний жим лёжа на наклонной скамье со штангой
barbell-high-pull;Barbell High Pull;Высокая тяга со штангой
barbell-hip-thrust;Barbell Hip Thrust;Ягодичный мост с опорой плечами со штангой
barbell-hooklying-bench-press;Barbell Hooklying Bench Press;Лёжа с согнутыми ногами жим лёжа со штангой
barbell-incline-bench-press;Barbell Incline Bench Press;Жим лёжа на наклонной скамье со штангой
barbell-j-m-press;Barbell J M Press;JM жим со штангой
barbell-jefferson-deadlift;Barbell Jefferson Deadlift;Становая тяга Джефферсона со штангой
barbell-kickstand-squat;Barbell Kickstand Squat;С опорой одной ногой приседание со штангой
barbell-landmine-row;Barbell Landmine Row;Лендмайн тяга со штангой
barbell-landmine-side-bend;Barbell Landmine Side Bend;Лендмайн наклон в сторону со штангой
barbell-landmine-sissy-squat;Barbell Landmine Sissy Squat;Лендмайн сисси-присед со штангой
barbell-larsen-bench-press;Barbell Larsen Bench Press;Жим Ларсена лёжа со штангой
barbell-lateral-lunge;Barbell Lateral Lunge;Боковой выпад со штангой
barbell-laying-triceps-extensions;Barbell Laying Triceps Extensions;Лёжа разгибания рук на трицепс со штангой
barbell-long-landmine-row;Barbell Long Landmine Row;Длинный лендмайн тяга со штангой
barbell-low-bar-good-morning;Barbell Low Bar Good Morning;Нижний с прямой рукоятью наклон «доброе утро» со штангой
barbell-low-bar-squat;Barbell Low Bar Squat;Нижний с прямой рукоятью приседание со штангой
barbell-meadows-row;Barbell Meadows Row;Тяга Медоуза со штангой
barbell-muscle-snatch;Barbell Muscle Snatch;Рывок без подседа со штангой
barbell-overhead-press;Barbell Overhead Press;Жим над головой со штангой
barbell-overhead-tricep-extension;Barbell Overhead Tricep Extension;Разгибание рук на трицепс над головой со штангой
barbell-pause-box-squat;Barbell Pause Box Squat;С паузой приседание на бокс со штангой
barbell-pause-squat;Barbell Pause Squat;Приседание с паузой со штангой
barbell-power-snatch;Barbell Power Snatch;Силовой рывок со штангой
barbell-pronated-pendlay-row;Barbell Pronated Pendlay Row;Пронированным хватом тяга Пендлея со штангой
barbell-pronated-row;Barbell Pronated Row;Пронированным хватом тяга со штангой
barbell-pullover;Barbell Pullover;Пуловер со штангой
barbell-quad-stomp;Barbell Quad Stomp;Топание квадрицепсом со штангой
barbell-rack-pull;Barbell Rack Pull;Тяга с рамы со штангой
barbell-reverse-curl;Barbell Reverse Curl;Обратное сгибание рук со штангой
barbell-reverse-deadlift;Barbell Reverse Deadlift;Обратный становая тяга со штангой
barbell-reverse-grip-bench-press;Barbell Reverse Grip Bench Press;Жим лёжа обратным хватом со штангой
barbell-reverse-lunge;Barbell Reverse Lunge;Обратный выпад со штангой
barbell-roll-outs;Barbell Roll Outs;Выкаты со штангой
barbell-romanian-deadlift;Barbell Romanian Deadlift;Румынская становая тяга со штангой
barbell-seated-calf-raise;Barbell Seated Calf Raise;Сидя подъём на носки со штангой
barbell-seated-full-front-raise;Barbell Seated Full Front Raise;Сидя полный подъём рук перед собой со штангой
barbell-shoulder-extension;Barbell Shoulder Extension;Разгибание плеча со штангой
barbell-shrug;Barbell Shrug;Шраги со штангой
barbell-side-step-up;Barbell Side Step Up;Боковой подъём на платформу со штангой
barbell-silverback-shrug;Barbell Silverback Shrug;Шраги «сильвербэк» со штангой
barbell-single-leg-deadlift;Barbell Single Leg Deadlift;Становая тяга на одной ноге со штангой
barbell-single-leg-heels-elevated-hip-thrust;Barbell Single Leg Heels Elevated Hip Thrust;Одной ноги пяток на возвышении ягодичный мост с опорой плечами со штангой
barbell-single-leg-hip-thrust;Barbell Single Leg Hip Thrust;Одной ноги ягодичный мост с опорой плечами со штангой
barbell-situp;Barbell Situp;Подъём туловища со штангой
barbell-skullcrusher;Barbell Skullcrusher;Французский жим лёжа со штангой
barbell-snatch;Barbell Snatch;Рывок со штангой
barbell-snatch-grip-deadlift;Barbell Snatch Grip Deadlift;Становая тяга рывковым хватом со штангой
barbell-snatch-grip-high-pull;Barbell Snatch Grip High Pull;Высокая тяга рывковым хватом со штангой
barbell-snatch-grip-romanian-deadlift;Barbell Snatch Grip Romanian Deadlift;Рывок хват румынская становая тяга со штангой
barbell-spinal-jefferson-curl;Barbell Spinal Jefferson Curl;Сгибание позвоночника Джефферсона со штангой
barbell-split-jerk;Barbell Split Jerk;Толчок в разножку со штангой
barbell-split-squat;Barbell Split Squat;Сплит-присед со штангой
barbell-spoto-press;Barbell Spoto Press;Жим Спото со штангой
barbell-squat;Barbell Squat;Приседание со штангой
barbell-staggered-deadlift;Barbell Staggered Deadlift;Со смещённой стойкой становая тяга со штангой
barbell-step-up;Barbell Step Up;Подъём на платформу со штангой
barbell-step-up-balance;Barbell Step Up Balance;Подъём на платформу с удержанием равновесия со штангой
barbell-step-up-knee-drive;Barbell Step Up Knee Drive;Подъём на платформу с подъёмом колена со штангой
barbell-stiff-leg-deadlifts;Barbell Stiff Leg Deadlifts;Становая тяга на прямых ногах со штангой
barbell-suitcase-carry;Barbell Suitcase Carry;Переноска «чемодан» со штангой
barbell-suitcase-deadlift;Barbell Suitcase Deadlift;Становая тяга «чемодан» со штангой
barbell-sumo-deadlift;Barbell Sumo Deadlift;Становая тяга сумо со штангой
barbell-sumo-pause-deadlift;Barbell Sumo Pause Deadlift;Сумо с паузой становая тяга со штангой
barbell-supinated-pendlay-row;Barbell Supinated Pendlay Row;Супинированным хватом тяга Пендлея со штангой
barbell-supinated-row;Barbell Supinated Row;Супинированным хватом тяга со штангой
barbell-tap-pause-squat;Barbell Tap Pause Squat;Касание приседание с паузой со штангой
barbell-thruster;Barbell Thruster;Трастер со штангой
barbell-toes-up-calf-raise;Barbell Toes Up Calf Raise;Носков вверх подъём на носки со штангой
barbell-tricep-guillotine-press;Barbell Tricep Guillotine Press;На трицепс «гильотина» жим со штангой
barbell-upright-row;Barbell Upright Row;Тяга к подбородку со штангой
barbell-wrist-curl;Barbell Wrist Curl;Сгибание запястий со штангой
barbell-wrist-extension;Barbell Wrist Extension;Разгибание запястий со штангой
barbell-z-press;Barbell Z Press;Z-жим со штангой
barbell-zercher-deficit-lunge;Barbell Zercher Deficit Lunge;Зерхера с дефицитом выпад со штангой
barbell-zercher-good-morning;Barbell Zercher Good Morning;Зерхера наклон «доброе утро» со штангой
barbell-zercher-squat;Barbell Zercher Squat;Зерхера приседание со штангой
bench-dips;Bench Dips;Отжимания на брусьях на скамье
bench-lift-off-active;Bench Lift Off Active;Отрыв активный на скамье
bench-lift-off-static;Bench Lift Off Static;Отрыв статическая на скамье
biceps-stretch-variation-five;Biceps Stretch Variation Five;Растяжка бицепса, вариант 5
biceps-stretch-variation-four;Biceps Stretch Variation Four;Растяжка бицепса, вариант 4
biceps-stretch-variation-one;Biceps Stretch Variation One;Растяжка бицепса, вариант 1
biceps-stretch-variation-three;Biceps Stretch Variation Three;Растяжка бицепса, вариант 3
biceps-stretch-variation-two;Biceps Stretch Variation Two;Растяжка бицепса, вариант 2
bicycle-crunch;Bicycle Crunch;Велосипедные скручивания
big-toe-abduction;Big Toe Abduction;Отведение большого пальца стопы
big-toe-dorsiflexion;Big Toe Dorsiflexion;Тыльное сгибание большого пальца стопы
bird-dog;Bird Dog;Бёрд-дог
bodyweight-alternating-curtsy-lunge;Bodyweight Alternating Curtsy Lunge;Поочерёдный выпад-реверанс
bodyweight-alternating-forward-lunge;Bodyweight Alternating Forward Lunge;Поочерёдный выпад вперёд
bodyweight-alternating-jump-lunge;Bodyweight Alternating Jump Lunge;Поочерёдный прыжок выпад
bodyweight-alternating-lateral-lunge;Bodyweight Alternating Lateral Lunge;Поочерёдный боковой выпад
bodyweight-alternating-reverse-lunges;Bodyweight Alternating Reverse Lunges;Поочерёдный обратный выпады
bodyweight-assisted-chin-up;Bodyweight Assisted Chin Up;С поддержкой подтягивание обратным хватом
bodyweight-assisted-gironda-chin-up;Bodyweight Assisted Gironda Chin Up;С поддержкой Жиронды подтягивание обратным хватом
bodyweight-assisted-mixed-grip-pullup;Bodyweight Assisted Mixed Grip Pullup;С поддержкой смешанный хват подтягивание
bodyweight-assisted-pull-up;Bodyweight Assisted Pull Up;С поддержкой подтягивание
bodyweight-assisted-sissy-squat;Bodyweight Assisted Sissy Squat;С поддержкой сисси-присед
bodyweight-box-assisted-dips;Bodyweight Box Assisted Dips;На коробке с поддержкой отжимания на брусьях
bodyweight-box-squat;Bodyweight Box Squat;Приседание на бокс
bodyweight-butterfly-stretch;Bodyweight Butterfly Stretch;Бабочка растяжка
bodyweight-clapping-push-up;Bodyweight Clapping Push Up;С хлопком отжимание
bodyweight-close-grip-inverted-curl;Bodyweight Close Grip Inverted Curl;Узкий хват инвертированная сгибание рук
bodyweight-concentration-curl;Bodyweight Concentration Curl;Концентрированное сгибание рук
bodyweight-curtsy-deficit-lunge;Bodyweight Curtsy Deficit Lunge;Выпад-реверанс с дефицитом
bodyweight-curtsy-step-down;Bodyweight Curtsy Step Down;Выпад-реверанс спуск с платформы
bodyweight-deadlift;Bodyweight Deadlift;Становая тяга
bodyweight-deficit-reverse-lunge;Bodyweight Deficit Reverse Lunge;С дефицитом обратный выпад
bodyweight-diamond-knee-push-ups;Bodyweight Diamond Knee Push Ups;Алмазные колена отжимания
bodyweight-donkey-calf-raise;Bodyweight Donkey Calf Raise;Подъём на носки в наклоне
bodyweight-elevated-push-up;Bodyweight Elevated Push Up;На возвышении отжимание
bodyweight-explosive-push-up;Bodyweight Explosive Push Up;Взрывное отжимание
bodyweight-feet-down-russian-twist;Bodyweight Feet Down Russian Twist;Стоп вниз скручивание с поворотом
bodyweight-feet-elevated-figure-four-glute-bridge;Bodyweight Feet Elevated Figure Four Glute Bridge;Стоп на возвышении ягодичный мост в положении «четвёрка»
bodyweight-feet-elevated-glute-bridge;Bodyweight Feet Elevated Glute Bridge;Стоп на возвышении ягодичный мост
bodyweight-feet-elevated-single-leg-glute-bridge;Bodyweight Feet Elevated Single Leg Glute Bridge;Стоп на возвышении одной ноги ягодичный мост
bodyweight-feet-elevated-staggered-glute-bridge;Bodyweight Feet Elevated Staggered Glute Bridge;Стоп на возвышении со смещённой стойкой ягодичный мост
bodyweight-feet-plank-jack;Bodyweight Feet Plank Jack;Стоп прыжки в планке
bodyweight-figure-four-heels-elevated-hip-thrust;Bodyweight Figure Four Heels Elevated Hip Thrust;В положении «четвёрка» пяток на возвышении ягодичный мост с опорой плечами
bodyweight-hand-plank-jack;Bodyweight Hand Plank Jack;Планка на руках джек
bodyweight-hands-up-push-ups;Bodyweight Hands Up Push Ups;Руки вверх отжимания
bodyweight-hanging-knee-tuck;Bodyweight Hanging Knee Tuck;В висе подтягивание коленей
bodyweight-hanging-l-sit;Bodyweight Hanging L Sit;В висе L-сид
bodyweight-heels-elevated-hip-thrust;Bodyweight Heels Elevated Hip Thrust;Пяток на возвышении ягодичный мост с опорой плечами
bodyweight-hip-abduction;Bodyweight Hip Abduction;Отведение бедра
bodyweight-incline-knee-push-up;Bodyweight Incline Knee Push Up;На наклонной скамье колена отжимание
bodyweight-inverted-curl;Bodyweight Inverted Curl;Инвертированная сгибание рук
bodyweight-kickstand-squat;Bodyweight Kickstand Squat;С опорой одной ногой приседание
bodyweight-knee-plank-up-down;Bodyweight Knee Plank Up Down;Колена переходы вверх-вниз в планке
bodyweight-knee-push-ups;Bodyweight Knee Push Ups;Колена отжимания
bodyweight-knee-tricep-extension;Bodyweight Knee Tricep Extension;Колена разгибание рук на трицепс
bodyweight-lateral-lunge-jump;Bodyweight Lateral Lunge Jump;Боковой выпад прыжок
bodyweight-ninety-ninety-hip-stretch;Bodyweight Ninety Ninety Hip Stretch;Растяжка тазобедренных суставов 90/90
bodyweight-overhand-inverted-row;Bodyweight Overhand Inverted Row;Прямым хватом инвертированная тяга
bodyweight-partial-step-down;Bodyweight Partial Step Down;Частичный спуск с платформы
bodyweight-pike-press;Bodyweight Pike Press;Пайк-жим
bodyweight-pike-shrug;Bodyweight Pike Shrug;Пайк-шраги
bodyweight-plank-arm-lift;Bodyweight Plank Arm Lift;Планка рукой подъём
bodyweight-plank-jack;Bodyweight Plank Jack;Прыжки в планке
bodyweight-plank-up-down;Bodyweight Plank Up Down;Переходы вверх-вниз в планке
bodyweight-pop-squat;Bodyweight Pop Squat;Поп-приседание
bodyweight-pulse-squat;Bodyweight Pulse Squat;Пульсирующее приседание
bodyweight-quad-stomp;Bodyweight Quad Stomp;Топание квадрицепсом
bodyweight-reverse-lunge;Bodyweight Reverse Lunge;Обратный выпад
bodyweight-reverse-step-up;Bodyweight Reverse Step Up;Обратный подъём на платформу
bodyweight-russian-twist;Bodyweight Russian Twist;Скручивание с поворотом
bodyweight-single-leg-balance-stable;Bodyweight Single Leg Balance Stable;Одной ноги баланс с устойчивой опорой
bodyweight-single-leg-calf-raise;Bodyweight Single Leg Calf Raise;Одной ноги подъём на носки
bodyweight-single-leg-heels-elevated-hip-thrust;Bodyweight Single Leg Heels Elevated Hip Thrust;Одной ноги пяток на возвышении ягодичный мост с опорой плечами
bodyweight-single-leg-squat;Bodyweight Single Leg Squat;Одной ноги приседание
bodyweight-spinal-jefferson-curl;Bodyweight Spinal Jefferson Curl;Сгибание позвоночника Джефферсона
